"Step","bench_unaware_B_s1 - energy","bench_unaware_B_s1 - energy__MIN","bench_unaware_B_s1 - energy__MAX","bench_unaware_A_s1 - energy","bench_unaware_A_s1 - energy__MIN","bench_unaware_A_s1 - energy__MAX","bench_unaware_A_s0 - energy","bench_unaware_A_s0 - energy__MIN","bench_unaware_A_s0 - energy__MAX","bench_aware_A_s2 - energy","bench_aware_A_s2 - energy__MIN","bench_aware_A_s2 - energy__MAX","bench_aware_A_s1 - energy","bench_aware_A_s1 - energy__MIN","bench_aware_A_s1 - energy__MAX","bench_aware_A_s0 - energy","bench_aware_A_s0 - energy__MIN","bench_aware_A_s0 - energy__MAX"
"76","-172.3018268260509","-172.3018268260509","-172.3018268260509","-172.62207692152757","-172.62207692152757","-172.62207692152757","-172.368743862377","-172.368743862377","-172.368743862377","-174.289610222051","-174.289610222051","-174.289610222051","-174.30882649427366","-174.30882649427366","-174.30882649427366","-174.17889644485012","-174.17889644485012","-174.17889644485012"
"77","-172.31720851006662","-172.31720851006662","-172.31720851006662","-172.60118390411753","-172.60118390411753","-172.60118390411753","-172.38015948146983","-172.38015948146983","-172.38015948146983","-174.31193164868364","-174.31193164868364","-174.31193164868364","-174.32704676129407","-174.32704676129407","-174.32704676129407","-174.20635196933907","-174.20635196933907","-174.20635196933907"
"78","-172.32347592249482","-172.32347592249482","-172.32347592249482","-172.63249219699102","-172.63249219699102","-172.63249219699102","-172.45649084607578","-172.45649084607578","-172.45649084607578","-174.3295637158167","-174.3295637158167","-174.3295637158167","-174.3610524256664","-174.3610524256664","-174.3610524256664","-174.23392985553505","-174.23392985553505","-174.23392985553505"
"79","-172.4281120576723","-172.4281120576723","-172.4281120576723","-172.60152070043674","-172.60152070043674","-172.60152070043674","-172.4865770913159","-172.4865770913159","-172.4865770913159","-174.35627865384527","-174.35627865384527","-174.35627865384527","-174.378740021934","-174.378740021934","-174.378740021934","-174.2398300720361","-174.2398300720361","-174.2398300720361"
"80","-172.44011091848472","-172.44011091848472","-172.44011091848472","-172.67196632883082","-172.67196632883082","-172.67196632883082","-172.46261055107402","-172.46261055107402","-172.46261055107402","-174.3722890505128","-174.3722890505128","-174.3722890505128","-174.33919301607395","-174.33919301607395","-174.33919301607395","-174.19810821898014","-174.19810821898014","-174.19810821898014"
"81","-172.34368587465462","-172.34368587465462","-172.34368587465462","-172.73270329275002","-172.73270329275002","-172.73270329275002","-172.46806354482098","-172.46806354482098","-172.46806354482098","-174.3811935918052","-174.3811935918052","-174.3811935918052","-174.3461052603906","-174.3461052603906","-174.3461052603906","-174.27346200556735","-174.27346200556735","-174.27346200556735"
"82","-172.48967667892418","-172.48967667892418","-172.48967667892418","-172.8122666133545","-172.8122666133545","-172.8122666133545","-172.53324777709128","-172.53324777709128","-172.53324777709128","-174.41678951272954","-174.41678951272954","-174.41678951272954","-174.4112829653077","-174.4112829653077","-174.4112829653077","-174.2793810901645","-174.2793810901645","-174.2793810901645"
"83","-172.53365286360994","-172.53365286360994","-172.53365286360994","-172.83664020260204","-172.83664020260204","-172.83664020260204","-172.4891209501477","-172.4891209501477","-172.4891209501477","-174.38895293597295","-174.38895293597295","-174.38895293597295","-174.39337970788898","-174.39337970788898","-174.39337970788898","-174.29058328585418","-174.29058328585418","-174.29058328585418"
"84","-172.50761371033204","-172.50761371033204","-172.50761371033204","-172.85580117330724","-172.85580117330724","-172.85580117330724","-172.55395137949222","-172.55395137949222","-172.55395137949222","-174.41014755954274","-174.41014755954274","-174.41014755954274","-174.3725056042766","-174.3725056042766","-174.3725056042766","-174.30574874309173","-174.30574874309173","-174.30574874309173"
"85","-172.50274076840094","-172.50274076840094","-172.50274076840094","-172.84126351862514","-172.84126351862514","-172.84126351862514","-172.60847929034225","-172.60847929034225","-172.60847929034225","-174.4173807964049","-174.4173807964049","-174.4173807964049","-174.38820467221154","-174.38820467221154","-174.38820467221154","-174.29708845645672","-174.29708845645672","-174.29708845645672"
"86","-172.48517715703707","-172.48517715703707","-172.48517715703707","-172.77638408356034","-172.77638408356034","-172.77638408356034","-172.53724392627572","-172.53724392627572","-172.53724392627572","-174.37972490052158","-174.37972490052158","-174.37972490052158","-174.35124795299072","-174.35124795299072","-174.35124795299072","-174.31212553317488","-174.31212553317488","-174.31212553317488"
"87","-172.49642248061593","-172.49642248061593","-172.49642248061593","-172.84698736898326","-172.84698736898326","-172.84698736898326","-172.6006819709527","-172.6006819709527","-172.6006819709527","-174.43606723096087","-174.43606723096087","-174.43606723096087","-174.3838158247149","-174.3838158247149","-174.3838158247149","-174.35522920450734","-174.35522920450734","-174.35522920450734"
"88","-172.53324782813613","-172.53324782813613","-172.53324782813613","-172.87976042666338","-172.87976042666338","-172.87976042666338","-172.65017902999125","-172.65017902999125","-172.65017902999125","-174.45628198589787","-174.45628198589787","-174.45628198589787","-174.41907012223078","-174.41907012223078","-174.41907012223078","-174.38443013024389","-174.38443013024389","-174.38443013024389"
"89","-172.5228914892483","-172.5228914892483","-172.5228914892483","-172.89166595634975","-172.89166595634975","-172.89166595634975","-172.62235870128293","-172.62235870128293","-172.62235870128293","-174.4319080367982","-174.4319080367982","-174.4319080367982","-174.42646438336885","-174.42646438336885","-174.42646438336885","-174.34878319818762","-174.34878319818762","-174.34878319818762"
"90","-172.5681626139271","-172.5681626139271","-172.5681626139271","-172.93048509544923","-172.93048509544923","-172.93048509544923","-172.65303838048962","-172.65303838048962","-172.65303838048962","-174.45345756236944","-174.45345756236944","-174.45345756236944","-174.4045241720155","-174.4045241720155","-174.4045241720155","-174.36708667211047","-174.36708667211047","-174.36708667211047"
"91","-172.47617343222677","-172.47617343222677","-172.47617343222677","-172.9054546655136","-172.9054546655136","-172.9054546655136","-172.68641341444598","-172.68641341444598","-172.68641341444598","-174.46100504517418","-174.46100504517418","-174.46100504517418","-174.46099766943593","-174.46099766943593","-174.46099766943593","-174.38530017581095","-174.38530017581095","-174.38530017581095"
"92","-172.42978319877534","-172.42978319877534","-172.42978319877534","-172.93372558918895","-172.93372558918895","-172.93372558918895","-172.6608245111744","-172.6608245111744","-172.6608245111744","-174.44205680024885","-174.44205680024885","-174.44205680024885","-174.40924885871252","-174.40924885871252","-174.40924885871252","-174.38825810093854","-174.38825810093854","-174.38825810093854"
"93","-172.57217831046873","-172.57217831046873","-172.57217831046873","-172.96218612872835","-172.96218612872835","-172.96218612872835","-172.73539069125243","-172.73539069125243","-172.73539069125243","-174.44864897676354","-174.44864897676354","-174.44864897676354","-174.4399077936913","-174.4399077936913","-174.4399077936913","-174.39140228266737","-174.39140228266737","-174.39140228266737"
"94","-172.67942292693795","-172.67942292693795","-172.67942292693795","-173.00878968936695","-173.00878968936695","-173.00878968936695","-172.7832077612769","-172.7832077612769","-172.7832077612769","-174.4645436084221","-174.4645436084221","-174.4645436084221","-174.44144469820327","-174.44144469820327","-174.44144469820327","-174.3620413490141","-174.3620413490141","-174.3620413490141"
"95","-172.62817942485157","-172.62817942485157","-172.62817942485157","-173.01842586720574","-173.01842586720574","-173.01842586720574","-172.77909442547872","-172.77909442547872","-172.77909442547872","-174.47879167252142","-174.47879167252142","-174.47879167252142","-174.4339393146168","-174.4339393146168","-174.4339393146168","-174.382916078884","-174.382916078884","-174.382916078884"
"96","-172.69321761805682","-172.69321761805682","-172.69321761805682","-173.03657940695697","-173.03657940695697","-173.03657940695697","-172.7313539769362","-172.7313539769362","-172.7313539769362","-174.47768956199366","-174.47768956199366","-174.47768956199366","-174.4101383800355","-174.4101383800355","-174.4101383800355","-174.37914094913899","-174.37914094913899","-174.37914094913899"
"97","-172.71654334692374","-172.71654334692374","-172.71654334692374","-173.05212023466447","-173.05212023466447","-173.05212023466447","-172.70564380561876","-172.70564380561876","-172.70564380561876","-174.4436614876344","-174.4436614876344","-174.4436614876344","-174.43175022284447","-174.43175022284447","-174.43175022284447","-174.4239481720151","-174.4239481720151","-174.4239481720151"
"98","-172.7175957850398","-172.7175957850398","-172.7175957850398","-173.12242343082394","-173.12242343082394","-173.12242343082394","-172.8046575135423","-172.8046575135423","-172.8046575135423","-174.46266050438834","-174.46266050438834","-174.46266050438834","-174.4787430554885","-174.4787430554885","-174.4787430554885","-174.40117899800686","-174.40117899800686","-174.40117899800686"
"99","-172.7463198834441","-172.7463198834441","-172.7463198834441","-173.02726759989199","-173.02726759989199","-173.02726759989199","-172.7988827587482","-172.7988827587482","-172.7988827587482","-174.44545923266455","-174.44545923266455","-174.44545923266455","-174.46854299232973","-174.46854299232973","-174.46854299232973","-174.38577127981284","-174.38577127981284","-174.38577127981284"
"100","-172.7912043708796","-172.7912043708796","-172.7912043708796","-173.05387503044673","-173.05387503044673","-173.05387503044673","-172.8082175287082","-172.8082175287082","-172.8082175287082","-174.46120949382123","-174.46120949382123","-174.46120949382123","-174.4585027937129","-174.4585027937129","-174.4585027937129","-174.43442634473618","-174.43442634473618","-174.43442634473618"
"101","-172.73370648880226","-172.73370648880226","-172.73370648880226","-173.16040164349693","-173.16040164349693","-173.16040164349693","-172.7310134884097","-172.7310134884097","-172.7310134884097","-174.46773229844965","-174.46773229844965","-174.46773229844965","-174.42966131349036","-174.42966131349036","-174.42966131349036","-174.42877276681","-174.42877276681","-174.42877276681"
"102","-172.76478965125204","-172.76478965125204","-172.76478965125204","-173.19390470800437","-173.19390470800437","-173.19390470800437","-172.75406814019743","-172.75406814019743","-172.75406814019743","-174.48324859324032","-174.48324859324032","-174.48324859324032","-174.4474583792414","-174.4474583792414","-174.4474583792414","-174.4606444249598","-174.4606444249598","-174.4606444249598"
"103","-172.74314342605967","-172.74314342605967","-172.74314342605967","-173.1111555376772","-173.1111555376772","-173.1111555376772","-172.77742488636483","-172.77742488636483","-172.77742488636483","-174.48896137741127","-174.48896137741127","-174.48896137741127","-174.43415502889303","-174.43415502889303","-174.43415502889303","-174.4528331488707","-174.4528331488707","-174.4528331488707"
"104","-172.75563188923354","-172.75563188923354","-172.75563188923354","-173.1544218292408","-173.1544218292408","-173.1544218292408","-172.85415818683737","-172.85415818683737","-172.85415818683737","-174.48172833141007","-174.48172833141007","-174.48172833141007","-174.4453770601763","-174.4453770601763","-174.4453770601763","-174.41286018780573","-174.41286018780573","-174.41286018780573"
"105","-172.75904338338245","-172.75904338338245","-172.75904338338245","-173.1719606044878","-173.1719606044878","-173.1719606044878","-172.85399916733434","-172.85399916733434","-172.85399916733434","-174.47349918478056","-174.47349918478056","-174.47349918478056","-174.47141662288095","-174.47141662288095","-174.47141662288095","-174.45051762806528","-174.45051762806528","-174.45051762806528"
"106","-172.84799054351117","-172.84799054351117","-172.84799054351117","-173.09723335016744","-173.09723335016744","-173.09723335016744","-172.80353394660318","-172.80353394660318","-172.80353394660318","-174.47360768209535","-174.47360768209535","-174.47360768209535","-174.45451749833512","-174.45451749833512","-174.45451749833512","-174.44604783116523","-174.44604783116523","-174.44604783116523"
"107","-172.82968690744437","-172.82968690744437","-172.82968690744437","-173.22375210165936","-173.22375210165936","-173.22375210165936","-172.87704480072904","-172.87704480072904","-172.87704480072904","-174.50300018670407","-174.50300018670407","-174.50300018670407","-174.4688884566873","-174.4688884566873","-174.4688884566873","-174.42997354322497","-174.42997354322497","-174.42997354322497"
"108","-172.7569977358573","-172.7569977358573","-172.7569977358573","-173.2003932310321","-173.2003932310321","-173.2003932310321","-172.93654079924522","-172.93654079924522","-172.93654079924522","-174.4738043293167","-174.4738043293167","-174.4738043293167","-174.48574268194812","-174.48574268194812","-174.48574268194812","-174.42232863310846","-174.42232863310846","-174.42232863310846"
"109","-172.75551034910248","-172.75551034910248","-172.75551034910248","-173.22722720622295","-173.22722720622295","-173.22722720622295","-172.957062174113","-172.957062174113","-172.957062174113","-174.4758674213519","-174.4758674213519","-174.4758674213519","-174.45682913365766","-174.45682913365766","-174.45682913365766","-174.45607293054775","-174.45607293054775","-174.45607293054775"
"110","-172.51278187497397","-172.51278187497397","-172.51278187497397","-173.19818108301018","-173.19818108301018","-173.19818108301018","-172.9644310666589","-172.9644310666589","-172.9644310666589","-174.48743121816216","-174.48743121816216","-174.48743121816216","-174.47356093425142","-174.47356093425142","-174.47356093425142","-174.4323487865824","-174.4323487865824","-174.4323487865824"
"111","-172.81950226669096","-172.81950226669096","-172.81950226669096","-173.28044936601466","-173.28044936601466","-173.28044936601466","-172.92897058718484","-172.92897058718484","-172.92897058718484","-174.49882138343742","-174.49882138343742","-174.49882138343742","-174.44254644405208","-174.44254644405208","-174.44254644405208","-174.46348225205156","-174.46348225205156","-174.46348225205156"
"112","-172.8221717741939","-172.8221717741939","-172.8221717741939","-173.23967634549922","-173.23967634549922","-173.23967634549922","-172.9672807895043","-172.9672807895043","-172.9672807895043","-174.5024846094372","-174.5024846094372","-174.5024846094372","-174.46946001806097","-174.46946001806097","-174.46946001806097","-174.46294427034675","-174.46294427034675","-174.46294427034675"
"113","-172.81801200309366","-172.81801200309366","-172.81801200309366","-173.2105378053411","-173.2105378053411","-173.2105378053411","-172.99503230644845","-172.99503230644845","-172.99503230644845","-174.48893455693744","-174.48893455693744","-174.48893455693744","-174.45691864312118","-174.45691864312118","-174.45691864312118","-174.44200463482167","-174.44200463482167","-174.44200463482167"
"114","-172.91789819094691","-172.91789819094691","-172.91789819094691","-173.2397231365627","-173.2397231365627","-173.2397231365627","-173.03106623556545","-173.03106623556545","-173.03106623556545","-174.4745437103723","-174.4745437103723","-174.4745437103723","-174.47769772385516","-174.47769772385516","-174.47769772385516","-174.47594480150457","-174.47594480150457","-174.47594480150457"
"115","-172.85997883173454","-172.85997883173454","-172.85997883173454","-173.25342975091326","-173.25342975091326","-173.25342975091326","-173.05170819358113","-173.05170819358113","-173.05170819358113","-174.48926677931757","-174.48926677931757","-174.48926677931757","-174.45062145235877","-174.45062145235877","-174.45062145235877","-174.46879472976542","-174.46879472976542","-174.46879472976542"
"116","-172.91354535319024","-172.91354535319024","-172.91354535319024","-173.3110050802453","-173.3110050802453","-173.3110050802453","-172.96670383477522","-172.96670383477522","-172.96670383477522","-174.5047775852476","-174.5047775852476","-174.5047775852476","-174.4757909603021","-174.4757909603021","-174.4757909603021","-174.43106082955038","-174.43106082955038","-174.43106082955038"
"117","-172.99107433910112","-172.99107433910112","-172.99107433910112","-173.29773915676847","-173.29773915676847","-173.29773915676847","-172.985955480031","-172.985955480031","-172.985955480031","-174.48567862473618","-174.48567862473618","-174.48567862473618","-174.47031288134912","-174.47031288134912","-174.47031288134912","-174.45808795091983","-174.45808795091983","-174.45808795091983"
"118","-172.93447441344347","-172.93447441344347","-172.93447441344347","-173.33256884396167","-173.33256884396167","-173.33256884396167","-173.07000981962696","-173.07000981962696","-173.07000981962696","-174.50253364898433","-174.50253364898433","-174.50253364898433","-174.45552787364474","-174.45552787364474","-174.45552787364474","-174.4552738282213","-174.4552738282213","-174.4552738282213"
"119","-172.94144003833952","-172.94144003833952","-172.94144003833952","-173.37531234246572","-173.37531234246572","-173.37531234246572","-172.98310537465687","-172.98310537465687","-172.98310537465687","-174.5113145121956","-174.5113145121956","-174.5113145121956","-174.46984165140972","-174.46984165140972","-174.46984165140972","-174.48829824815104","-174.48829824815104","-174.48829824815104"
"120","-173.00192471138695","-173.00192471138695","-173.00192471138695","-173.28531434012237","-173.28531434012237","-173.28531434012237","-173.0183668027331","-173.0183668027331","-173.0183668027331","-174.49796418613195","-174.49796418613195","-174.49796418613195","-174.45695998091415","-174.45695998091415","-174.45695998091415","-174.45246885990508","-174.45246885990508","-174.45246885990508"
"121","-172.96799724783705","-172.96799724783705","-172.96799724783705","-173.40423169753882","-173.40423169753882","-173.40423169753882","-173.05756161612328","-173.05756161612328","-173.05756161612328","-174.5066371796573","-174.5066371796573","-174.5066371796573","-174.4577550647602","-174.4577550647602","-174.4577550647602","-174.45940605941342","-174.45940605941342","-174.45940605941342"
"122","-173.06023002528596","-173.06023002528596","-173.06023002528596","-173.40879830393507","-173.40879830393507","-173.40879830393507","-173.06769377827987","-173.06769377827987","-173.06769377827987","-174.49772746400336","-174.49772746400336","-174.49772746400336","-174.48137188034536","-174.48137188034536","-174.48137188034536","-174.4579653076504","-174.4579653076504","-174.4579653076504"
"123","-173.03789163215365","-173.03789163215365","-173.03789163215365","-173.41670242255285","-173.41670242255285","-173.41670242255285","-173.16962725923673","-173.16962725923673","-173.16962725923673","-174.5018227395894","-174.5018227395894","-174.5018227395894","-174.47591936257496","-174.47591936257496","-174.47591936257496","-174.4620036367769","-174.4620036367769","-174.4620036367769"
"124","-173.05152137714586","-173.05152137714586","-173.05152137714586","-173.4168491355909","-173.4168491355909","-173.4168491355909","-173.05862787305867","-173.05862787305867","-173.05862787305867","-174.49913525503482","-174.49913525503482","-174.49913525503482","-174.4819587176178","-174.4819587176178","-174.4819587176178","-174.4563427282136","-174.4563427282136","-174.4563427282136"
"125","-173.071791169694","-173.071791169694","-173.071791169694","-173.3606705261389","-173.3606705261389","-173.3606705261389","-173.10438419051778","-173.10438419051778","-173.10438419051778","-174.51457107038144","-174.51457107038144","-174.51457107038144","-174.48213872208407","-174.48213872208407","-174.48213872208407","-174.46283148377628","-174.46283148377628","-174.46283148377628"
"126","-172.99560959484677","-172.99560959484677","-172.99560959484677","-173.3509831894843","-173.3509831894843","-173.3509831894843","-173.10211131038182","-173.10211131038182","-173.10211131038182","-174.50573002905148","-174.50573002905148","-174.50573002905148","-174.4905934746144","-174.4905934746144","-174.4905934746144","-174.4718696776632","-174.4718696776632","-174.4718696776632"
"127","-172.98364211254219","-172.98364211254219","-172.98364211254219","-173.41747095802498","-173.41747095802498","-173.41747095802498","-173.0984485523333","-173.0984485523333","-173.0984485523333","-174.5055572268236","-174.5055572268236","-174.5055572268236","-174.46453264025382","-174.46453264025382","-174.46453264025382","-174.46077299227886","-174.46077299227886","-174.46077299227886"
"128","-173.05951901760963","-173.05951901760963","-173.05951901760963","-173.42917009330557","-173.42917009330557","-173.42917009330557","-173.1089844252804","-173.1089844252804","-173.1089844252804","-174.50885060489497","-174.50885060489497","-174.50885060489497","-174.4701983953844","-174.4701983953844","-174.4701983953844","-174.4652614238954","-174.4652614238954","-174.4652614238954"
"129","-173.0595656094066","-173.0595656094066","-173.0595656094066","-173.33233952056906","-173.33233952056906","-173.33233952056906","-173.13856168145747","-173.13856168145747","-173.13856168145747","-174.4919037044699","-174.4919037044699","-174.4919037044699","-174.46784199891158","-174.46784199891158","-174.46784199891158","-174.4908032388539","-174.4908032388539","-174.4908032388539"
"130","-173.0754155002423","-173.0754155002423","-173.0754155002423","-173.50292779508933","-173.50292779508933","-173.50292779508933","-173.14503637889706","-173.14503637889706","-173.14503637889706","-174.4865332499117","-174.4865332499117","-174.4865332499117","-174.4797745916281","-174.4797745916281","-174.4797745916281","-174.49918953065023","-174.49918953065023","-174.49918953065023"
"131","-173.05047619715762","-173.05047619715762","-173.05047619715762","-173.43392073381213","-173.43392073381213","-173.43392073381213","-173.0668864039021","-173.0668864039021","-173.0668864039021","-174.48866571006633","-174.48866571006633","-174.48866571006633","-174.47933993646285","-174.47933993646285","-174.47933993646285","-174.4481433092718","-174.4481433092718","-174.4481433092718"
"132","-173.07833164732727","-173.07833164732727","-173.07833164732727","-173.4139329681356","-173.4139329681356","-173.4139329681356","-172.98535654238708","-172.98535654238708","-172.98535654238708","-174.4858868308957","-174.4858868308957","-174.4858868308957","-174.49662896596828","-174.49662896596828","-174.49662896596828","-174.48349755649622","-174.48349755649622","-174.48349755649622"
"133","-173.10859736644616","-173.10859736644616","-173.10859736644616","-173.46655116050863","-173.46655116050863","-173.46655116050863","-173.1836283569019","-173.1836283569019","-173.1836283569019","-174.4925213449534","-174.4925213449534","-174.4925213449534","-174.487409484558","-174.487409484558","-174.487409484558","-174.4751978852172","-174.4751978852172","-174.4751978852172"
"134","-173.03156850956807","-173.03156850956807","-173.03156850956807","-173.43714560716327","-173.43714560716327","-173.43714560716327","-173.10745224970765","-173.10745224970765","-173.10745224970765","-174.5036092848042","-174.5036092848042","-174.5036092848042","-174.45506065273025","-174.45506065273025","-174.45506065273025","-174.45198237492082","-174.45198237492082","-174.45198237492082"
"135","-173.10705398915712","-173.10705398915712","-173.10705398915712","-173.48084144039498","-173.48084144039498","-173.48084144039498","-173.0992187225591","-173.0992187225591","-173.0992187225591","-174.50307716822007","-174.50307716822007","-174.50307716822007","-174.47030899020552","-174.47030899020552","-174.47030899020552","-174.47437021414538","-174.47437021414538","-174.47437021414538"
"136","-173.10855882358464","-173.10855882358464","-173.10855882358464","-173.47007358340568","-173.47007358340568","-173.47007358340568","-173.10264368050508","-173.10264368050508","-173.10264368050508","-174.49255373612866","-174.49255373612866","-174.49255373612866","-174.49505308816572","-174.49505308816572","-174.49505308816572","-174.4510914386717","-174.4510914386717","-174.4510914386717"
"137","-173.08816070934085","-173.08816070934085","-173.08816070934085","-173.47966695192218","-173.47966695192218","-173.47966695192218","-173.06581423879595","-173.06581423879595","-173.06581423879595","-174.4807100049153","-174.4807100049153","-174.4807100049153","-174.48704841121722","-174.48704841121722","-174.48704841121722","-174.4644908469599","-174.4644908469599","-174.4644908469599"
"138","-173.13224866207753","-173.13224866207753","-173.13224866207753","-173.50814625602337","-173.50814625602337","-173.50814625602337","-173.1797628957768","-173.1797628957768","-173.1797628957768","-174.519067446215","-174.519067446215","-174.519067446215","-174.47204116354013","-174.47204116354013","-174.47204116354013","-174.48204016994055","-174.48204016994055","-174.48204016994055"
"139","-173.1521839798279","-173.1521839798279","-173.1521839798279","-173.5094462988713","-173.5094462988713","-173.5094462988713","-173.1754343199599","-173.1754343199599","-173.1754343199599","-174.50365882161873","-174.50365882161873","-174.50365882161873","-174.47799965964424","-174.47799965964424","-174.47799965964424","-174.47486725463955","-174.47486725463955","-174.47486725463955"
"140","-173.1613520032758","-173.1613520032758","-173.1613520032758","-173.5227236139346","-173.5227236139346","-173.5227236139346","-173.24345053321804","-173.24345053321804","-173.24345053321804","-174.48384584452714","-174.48384584452714","-174.48384584452714","-174.4821355708491","-174.4821355708491","-174.4821355708491","-174.47578990386023","-174.47578990386023","-174.47578990386023"
"141","-173.17282392895984","-173.17282392895984","-173.17282392895984","-173.4980804879237","-173.4980804879237","-173.4980804879237","-173.2229836811355","-173.2229836811355","-173.2229836811355","-174.5054569094693","-174.5054569094693","-174.5054569094693","-174.47110742085823","-174.47110742085823","-174.47110742085823","-174.45870708642596","-174.45870708642596","-174.45870708642596"
"142","-173.18827589344457","-173.18827589344457","-173.18827589344457","-173.54303316538267","-173.54303316538267","-173.54303316538267","-173.21526798256053","-173.21526798256053","-173.21526798256053","-174.50556722107015","-174.50556722107015","-174.50556722107015","-174.47358187716947","-174.47358187716947","-174.47358187716947","-174.48807620813375","-174.48807620813375","-174.48807620813375"
"143","-173.14044776513367","-173.14044776513367","-173.14044776513367","-173.47870306766794","-173.47870306766794","-173.47870306766794","-173.27291821349723","-173.27291821349723","-173.27291821349723","-174.52399817490257","-174.52399817490257","-174.52399817490257","-174.46155377918913","-174.46155377918913","-174.46155377918913","-174.51219237783198","-174.51219237783198","-174.51219237783198"
"144","-173.18322503341793","-173.18322503341793","-173.18322503341793","-173.49753427585168","-173.49753427585168","-173.49753427585168","-173.22139142236466","-173.22139142236466","-173.22139142236466","-174.49544782668409","-174.49544782668409","-174.49544782668409","-174.50273444576533","-174.50273444576533","-174.50273444576533","-174.4594366240775","-174.4594366240775","-174.4594366240775"
"145","-173.16507180858721","-173.16507180858721","-173.16507180858721","-173.57320346701744","-173.57320346701744","-173.57320346701744","-173.2313330280354","-173.2313330280354","-173.2313330280354","-174.5003528489434","-174.5003528489434","-174.5003528489434","-174.46451340515807","-174.46451340515807","-174.46451340515807","-174.46058547191654","-174.46058547191654","-174.46058547191654"
"146","-173.1878896937154","-173.1878896937154","-173.1878896937154","-173.55650277723743","-173.55650277723743","-173.55650277723743","-173.22656687380717","-173.22656687380717","-173.22656687380717","-174.4988944685851","-174.4988944685851","-174.4988944685851","-174.47146385162455","-174.47146385162455","-174.47146385162455","-174.42472074149964","-174.42472074149964","-174.42472074149964"
"147","-173.1646109061988","-173.1646109061988","-173.1646109061988","-173.55592857592177","-173.55592857592177","-173.55592857592177","-173.24691652643946","-173.24691652643946","-173.24691652643946","-174.49153565819722","-174.49153565819722","-174.49153565819722","-174.48202282953923","-174.48202282953923","-174.48202282953923","-174.47870012507457","-174.47870012507457","-174.47870012507457"
"148","-173.23848588836552","-173.23848588836552","-173.23848588836552","-173.53893721061377","-173.53893721061377","-173.53893721061377","-173.2056404400885","-173.2056404400885","-173.2056404400885","-174.4941038572237","-174.4941038572237","-174.4941038572237","-174.498823361743","-174.498823361743","-174.498823361743","-174.4785750850955","-174.4785750850955","-174.4785750850955"
"149","-173.28107484499185","-173.28107484499185","-173.28107484499185","-173.6123969607824","-173.6123969607824","-173.6123969607824","-173.25068542005496","-173.25068542005496","-173.25068542005496","-174.52038715602245","-174.52038715602245","-174.52038715602245","-174.48994571057284","-174.48994571057284","-174.48994571057284","-174.48076909477356","-174.48076909477356","-174.48076909477356"
"150","-173.20379818656713","-173.20379818656713","-173.20379818656713","-173.56700224277296","-173.56700224277296","-173.56700224277296","-173.24351687828323","-173.24351687828323","-173.24351687828323","-174.50842591955652","-174.50842591955652","-174.50842591955652","-174.4754554178278","-174.4754554178278","-174.4754554178278","-174.45398072833865","-174.45398072833865","-174.45398072833865"
"151","-173.1838334594727","-173.1838334594727","-173.1838334594727","-173.52391477225106","-173.52391477225106","-173.52391477225106","-173.2389069473657","-173.2389069473657","-173.2389069473657","-174.50648619396136","-174.50648619396136","-174.50648619396136","-174.47622617093464","-174.47622617093464","-174.47622617093464","-174.4680743642046","-174.4680743642046","-174.4680743642046"
"152","-173.19182690422605","-173.19182690422605","-173.19182690422605","-173.57181210947724","-173.57181210947724","-173.57181210947724","-173.26807806065557","-173.26807806065557","-173.26807806065557","-174.50399467630672","-174.50399467630672","-174.50399467630672","-174.4548492073679","-174.4548492073679","-174.4548492073679","-174.47446801467714","-174.47446801467714","-174.47446801467714"
"153","-173.2066623842642","-173.2066623842642","-173.2066623842642","-173.51050839700207","-173.51050839700207","-173.51050839700207","-173.290706176644","-173.290706176644","-173.290706176644","-174.50901095471886","-174.50901095471886","-174.50901095471886","-174.47416020483837","-174.47416020483837","-174.47416020483837","-174.48747588224987","-174.48747588224987","-174.48747588224987"
"154","-173.27456638436044","-173.27456638436044","-173.27456638436044","-173.62267218192434","-173.62267218192434","-173.62267218192434","-173.24847957011343","-173.24847957011343","-173.24847957011343","-174.5111321642455","-174.5111321642455","-174.5111321642455","-174.46217585887092","-174.46217585887092","-174.46217585887092","-174.45687522718856","-174.45687522718856","-174.45687522718856"
"155","-173.29325707600293","-173.29325707600293","-173.29325707600293","-173.58604912290082","-173.58604912290082","-173.58604912290082","-173.1947181202463","-173.1947181202463","-173.1947181202463","-174.54492748248853","-174.54492748248853","-174.54492748248853","-174.47684695023906","-174.47684695023906","-174.47684695023906","-174.4617126869831","-174.4617126869831","-174.4617126869831"
"156","-173.22520103141545","-173.22520103141545","-173.22520103141545","-173.5578636562028","-173.5578636562028","-173.5578636562028","-173.27694914335166","-173.27694914335166","-173.27694914335166","-174.50470629645775","-174.50470629645775","-174.50470629645775","-174.47194402116315","-174.47194402116315","-174.47194402116315","-174.47640627253134","-174.47640627253134","-174.47640627253134"
"157","-173.24039290826454","-173.24039290826454","-173.24039290826454","-173.53402469597407","-173.53402469597407","-173.53402469597407","-173.28125588414892","-173.28125588414892","-173.28125588414892","-174.50478773676394","-174.50478773676394","-174.50478773676394","-174.51399338009261","-174.51399338009261","-174.51399338009261","-174.51053796646534","-174.51053796646534","-174.51053796646534"
