"Step","geocnn-4-4-8-8-8-4 - energy","geocnn-4-4-8-8-8-4 - energy__MIN","geocnn-4-4-8-8-8-4 - energy__MAX","geocnn-8-8-8-4-4 - energy","geocnn-8-8-8-4-4 - energy__MIN","geocnn-8-8-8-4-4 - energy__MAX","geocnn-8-8-8 - energy","geocnn-8-8-8 - energy__MIN","geocnn-8-8-8 - energy__MAX","cnn-8_4-4-1 - energy","cnn-8_4-4-1 - energy__MIN","cnn-8_4-4-1 - energy__MAX","cnn-4-4_8-1 - energy","cnn-4-4_8-1 - energy__MIN","cnn-4-4_8-1 - energy__MAX","cnn-4-4_1 - energy","cnn-4-4_1 - energy__MIN","cnn-4-4_1 - energy__MAX","cnn-8-8-8_4-4-1 - energy","cnn-8-8-8_4-4-1 - energy__MIN","cnn-8-8-8_4-4-1 - energy__MAX","cnn-8-8_4-4-1 - energy","cnn-8-8_4-4-1 - energy__MIN","cnn-8-8_4-4-1 - energy__MAX","cnn-4-4_8-8-8-1 - energy","cnn-4-4_8-8-8-1 - energy__MIN","cnn-4-4_8-8-8-1 - energy__MAX","cnn-4-4_8-8-1 - energy","cnn-4-4_8-8-1 - energy__MIN","cnn-4-4_8-8-1 - energy__MAX"
"10","-12.952032384481988","-12.952032384481988","-12.952032384481988","-13.090433032539547","-13.090433032539547","-13.090433032539547","-13.232658191317462","-13.232658191317462","-13.232658191317462","-13.219795016554038","-13.219795016554038","-13.219795016554038","-13.563879276215488","-13.563879276215488","-13.563879276215488","-13.560809853724376","-13.560809853724376","-13.560809853724376","-13.261986830308988","-13.261986830308988","-13.261986830308988","-13.220379907296687","-13.220379907296687","-13.220379907296687","-13.415694758773729","-13.415694758773729","-13.415694758773729","-13.389211747135263","-13.389211747135263","-13.389211747135263"
"11","-13.130738183732557","-13.130738183732557","-13.130738183732557","-13.274935749426923","-13.274935749426923","-13.274935749426923","-13.389152204429392","-13.389152204429392","-13.389152204429392","-13.37750353447432","-13.37750353447432","-13.37750353447432","-13.68393423946687","-13.68393423946687","-13.68393423946687","-13.682039482315046","-13.682039482315046","-13.682039482315046","-13.414746795129671","-13.414746795129671","-13.414746795129671","-13.376851786683005","-13.376851786683005","-13.376851786683005","-13.55059075717834","-13.55059075717834","-13.55059075717834","-13.55737110796025","-13.55737110796025","-13.55737110796025"
"12","-13.298646010769755","-13.298646010769755","-13.298646010769755","-13.434586196104773","-13.434586196104773","-13.434586196104773","-13.541007688020265","-13.541007688020265","-13.541007688020265","-13.540735596637434","-13.540735596637434","-13.540735596637434","-13.788682583787136","-13.788682583787136","-13.788682583787136","-13.79431138329524","-13.79431138329524","-13.79431138329524","-13.568351049607305","-13.568351049607305","-13.568351049607305","-13.530121476310011","-13.530121476310011","-13.530121476310011","-13.676335362127233","-13.676335362127233","-13.676335362127233","-13.653568441559482","-13.653568441559482","-13.653568441559482"
"13","-13.43610996517206","-13.43610996517206","-13.43610996517206","-13.577375488487075","-13.577375488487075","-13.577375488487075","-13.64170201766346","-13.64170201766346","-13.64170201766346","-13.658432615362392","-13.658432615362392","-13.658432615362392","-13.865948142258608","-13.865948142258608","-13.865948142258608","-13.867213235775584","-13.867213235775584","-13.867213235775584","-13.671245312042487","-13.671245312042487","-13.671245312042487","-13.636070534575321","-13.636070534575321","-13.636070534575321","-13.779252383481525","-13.779252383481525","-13.779252383481525","-13.771016444091075","-13.771016444091075","-13.771016444091075"
"14","-13.577180691903992","-13.577180691903992","-13.577180691903992","-13.67246377849034","-13.67246377849034","-13.67246377849034","-13.731633395932903","-13.731633395932903","-13.731633395932903","-13.77158084036694","-13.77158084036694","-13.77158084036694","-13.948746458955238","-13.948746458955238","-13.948746458955238","-13.94648424213147","-13.94648424213147","-13.94648424213147","-13.77425443669664","-13.77425443669664","-13.77425443669664","-13.747317264917251","-13.747317264917251","-13.747317264917251","-13.864075402947021","-13.864075402947021","-13.864075402947021","-13.869561442031385","-13.869561442031385","-13.869561442031385"
"15","-13.649799307388363","-13.649799307388363","-13.649799307388363","-13.753599976168864","-13.753599976168864","-13.753599976168864","-13.822956317461774","-13.822956317461774","-13.822956317461774","-13.835038388851943","-13.835038388851943","-13.835038388851943","-14.009469186696535","-14.009469186696535","-14.009469186696535","-14.00884004229821","-14.00884004229821","-14.00884004229821","-13.85425179627103","-13.85425179627103","-13.85425179627103","-13.842261498546815","-13.842261498546815","-13.842261498546815","-13.926754878808413","-13.926754878808413","-13.926754878808413","-13.941070066916943","-13.941070066916943","-13.941070066916943"
"16","-13.757152166695327","-13.757152166695327","-13.757152166695327","-13.844968697963644","-13.844968697963644","-13.844968697963644","-13.901622840516772","-13.901622840516772","-13.901622840516772","-13.922358889110807","-13.922358889110807","-13.922358889110807","-14.041917537100993","-14.041917537100993","-14.041917537100993","-14.044471526725118","-14.044471526725118","-14.044471526725118","-13.93176768392776","-13.93176768392776","-13.93176768392776","-13.899691913994463","-13.899691913994463","-13.899691913994463","-13.990248927019032","-13.990248927019032","-13.990248927019032","-14.010734391252559","-14.010734391252559","-14.010734391252559"
"17","-13.843010378608387","-13.843010378608387","-13.843010378608387","-13.922242935383036","-13.922242935383036","-13.922242935383036","-13.968242986727422","-13.968242986727422","-13.968242986727422","-13.989409099143996","-13.989409099143996","-13.989409099143996","-14.101365481899588","-14.101365481899588","-14.101365481899588","-14.101119276773755","-14.101119276773755","-14.101119276773755","-13.995307127127855","-13.995307127127855","-13.995307127127855","-13.977759294027944","-13.977759294027944","-13.977759294027944","-14.049961466931508","-14.049961466931508","-14.049961466931508","-14.046088993090379","-14.046088993090379","-14.046088993090379"
"18","-13.906514478096767","-13.906514478096767","-13.906514478096767","-13.978165746844752","-13.978165746844752","-13.978165746844752","-14.022970792421512","-14.022970792421512","-14.022970792421512","-14.040668006458574","-14.040668006458574","-14.040668006458574","-14.132595623516767","-14.132595623516767","-14.132595623516767","-14.132073017487082","-14.132073017487082","-14.132073017487082","-14.055266386802149","-14.055266386802149","-14.055266386802149","-14.039134586935681","-14.039134586935681","-14.039134586935681","-14.089111059096142","-14.089111059096142","-14.089111059096142","-14.09013060486196","-14.09013060486196","-14.09013060486196"
"19","-13.972853834471772","-13.972853834471772","-13.972853834471772","-14.034849212588217","-14.034849212588217","-14.034849212588217","-14.07208646289836","-14.07208646289836","-14.07208646289836","-14.093234282462934","-14.093234282462934","-14.093234282462934","-14.16511819616712","-14.16511819616712","-14.16511819616712","-14.164990159066518","-14.164990159066518","-14.164990159066518","-14.096163697721538","-14.096163697721538","-14.096163697721538","-14.086773605061166","-14.086773605061166","-14.086773605061166","-14.134871171977583","-14.134871171977583","-14.134871171977583","-14.11821649935269","-14.11821649935269","-14.11821649935269"
