"Step","geocnn-4-4-8-8-8-4 - delta","geocnn-4-4-8-8-8-4 - delta__MIN","geocnn-4-4-8-8-8-4 - delta__MAX","geocnn-8-8-8-4-4 - delta","geocnn-8-8-8-4-4 - delta__MIN","geocnn-8-8-8-4-4 - delta__MAX","geocnn-8-8-8 - delta","geocnn-8-8-8 - delta__MIN","geocnn-8-8-8 - delta__MAX","cnn-8_4-4-1 - delta","cnn-8_4-4-1 - delta__MIN","cnn-8_4-4-1 - delta__MAX","cnn-4-4_8-1 - delta","cnn-4-4_8-1 - delta__MIN","cnn-4-4_8-1 - delta__MAX","cnn-4-4_1 - delta","cnn-4-4_1 - delta__MIN","cnn-4-4_1 - delta__MAX","cnn-8-8-8_4-4-1 - delta","cnn-8-8-8_4-4-1 - delta__MIN","cnn-8-8-8_4-4-1 - delta__MAX","cnn-8-8_4-4-1 - delta","cnn-8-8_4-4-1 - delta__MIN","cnn-8-8_4-4-1 - delta__MAX","cnn-4-4_8-8-8-1 - delta","cnn-4-4_8-8-8-1 - delta__MIN","cnn-4-4_8-8-8-1 - delta__MAX","cnn-4-4_8-8-1 - delta","cnn-4-4_8-8-1 - delta__MIN","cnn-4-4_8-8-1 - delta__MAX"
"13","0.05905613967724844","0.05905613967724844","0.05905613967724844","0.049163177563727824","0.049163177563727824","0.049163177563727824","0.044658328106460275","0.044658328106460275","0.044658328106460275","0.04348666806310355","0.04348666806310355","0.04348666806310355","0.02895415370732533","0.02895415370732533","0.02895415370732533","0.028865557976818664","0.028865557976818664","0.028865557976818664","0.042589382442000126","0.042589382442000126","0.042589382442000126","0.04505270634912363","0.04505270634912363","0.04505270634912363","0.035025542088990294","0.035025542088990294","0.035025542088990294","0.03560231294183123","0.03560231294183123","0.03560231294183123"
"14","0.049176819358067","0.049176819358067","0.049176819358067","0.04250405205053355","0.04250405205053355","0.04250405205053355","0.0383603461420122","0.0383603461420122","0.0383603461420122","0.03556278772121739","0.03556278772121739","0.03556278772121739","0.023155706988542798","0.023155706988542798","0.023155706988542798","0.02331413223487978","0.02331413223487978","0.02331413223487978","0.03537555316762013","0.03537555316762013","0.03537555316762013","0.03726198952948202","0.03726198952948202","0.03726198952948202","0.029085303464345052","0.029085303464345052","0.029085303464345052","0.028701110806852587","0.028701110806852587","0.028701110806852587"
"15","0.04409126702467012","0.04409126702467012","0.04409126702467012","0.036822005144588665","0.036822005144588665","0.036822005144588665","0.031964913048500215","0.031964913048500215","0.031964913048500215","0.031118793827681842","0.031118793827681842","0.031118793827681842","0.018903235253916614","0.018903235253916614","0.018903235253916614","0.018947294848575658","0.018947294848575658","0.018947294848575658","0.029773260202716693","0.029773260202716693","0.029773260202716693","0.03061295242437057","0.03061295242437057","0.03061295242437057","0.0246957987540604","0.0246957987540604","0.0246957987540604","0.023693292195617593","0.023693292195617593","0.023693292195617593"
"16","0.036573241784119304","0.036573241784119304","0.036573241784119304","0.030423364613870553","0.030423364613870553","0.030423364613870553","0.02645581986056044","0.02645581986056044","0.02645581986056044","0.025003654191889428","0.025003654191889428","0.025003654191889428","0.016630845688051295","0.016630845688051295","0.016630845688051295","0.01645198730847728","0.01645198730847728","0.01645198730847728","0.024344747131810566","0.024344747131810566","0.024344747131810566","0.026591044524589755","0.026591044524589755","0.026591044524589755","0.020249248749209123","0.020249248749209123","0.020249248749209123","0.01881463174724049","0.01881463174724049","0.01881463174724049"
"17","0.030560507624656914","0.030560507624656914","0.030560507624656914","0.02501177454432112","0.02501177454432112","0.02501177454432112","0.02179034616964817","0.02179034616964817","0.02179034616964817","0.020308062712836486","0.020308062712836486","0.020308062712836486","0.01246764824384758","0.01246764824384758","0.01246764824384758","0.01248489022847955","0.01248489022847955","0.01248489022847955","0.01989501807165616","0.01989501807165616","0.01989501807165616","0.02112390990568622","0.02112390990568622","0.02112390990568622","0.016067521451608602","0.016067521451608602","0.016067521451608602","0.016338714564388932","0.016338714564388932","0.016338714564388932"
"18","0.026113253719039494","0.026113253719039494","0.026113253719039494","0.02109544561926123","0.02109544561926123","0.02109544561926123","0.017957704661780625","0.017957704661780625","0.017957704661780625","0.016718351535306132","0.016718351535306132","0.016718351535306132","0.010280571025228034","0.010280571025228034","0.010280571025228034","0.010317169634220861","0.010317169634220861","0.010317169634220861","0.015696012748964778","0.015696012748964778","0.015696012748964778","0.01682573839721076","0.01682573839721076","0.01682573839721076","0.013325837401914212","0.013325837401914212","0.013325837401914212","0.013254437619454253","0.013254437619454253","0.013254437619454253"
"19","0.021467444013653924","0.021467444013653924","0.021467444013653924","0.01712584733438703","0.01712584733438703","0.01712584733438703","0.014518086446343252","0.014518086446343252","0.014518086446343252","0.013037084055764496","0.013037084055764496","0.013037084055764496","0.008002983603230646","0.008002983603230646","0.008002983603230646","0.008011950166024276","0.008011950166024276","0.008011950166024276","0.012831934253547598","0.012831934253547598","0.012831934253547598","0.013489531583395385","0.013489531583395385","0.013489531583395385","0.010121212151370842","0.010121212151370842","0.010121212151370842","0.011287555087886194","0.011287555087886194","0.011287555087886194"
"20","0.018093652784772495","0.018093652784772495","0.018093652784772495","0.014920389835807658","0.014920389835807658","0.014920389835807658","0.012185297030841208","0.012185297030841208","0.012185297030841208","0.011016746740154817","0.011016746740154817","0.011016746740154817","0.006833485731434591","0.006833485731434591","0.006833485731434591","0.006910261826621776","0.006910261826621776","0.006910261826621776","0.010572688187853148","0.010572688187853148","0.010572688187853148","0.011549507326865844","0.011549507326865844","0.011549507326865844","0.008622589418734228","0.008622589418734228","0.008622589418734228","0.009225999941839105","0.009225999941839105","0.009225999941839105"
"21","0.01477907379401612","0.01477907379401612","0.01477907379401612","0.0116382430475175","0.0116382430475175","0.0116382430475175","0.009829414823949324","0.009829414823949324","0.009829414823949324","0.00849038273151244","0.00849038273151244","0.00849038273151244","0.005239638896016801","0.005239638896016801","0.005239638896016801","0.005221987232831814","0.005221987232831814","0.005221987232831814","0.00851829330725133","0.00851829330725133","0.00851829330725133","0.009005283312469291","0.009005283312469291","0.009005283312469291","0.00679500675304812","0.00679500675304812","0.00679500675304812","0.007387835836157413","0.007387835836157413","0.007387835836157413"
"22","0.012743856901463386","0.012743856901463386","0.012743856901463386","0.010881722602647005","0.010881722602647005","0.010881722602647005","0.008367765694204636","0.008367765694204636","0.008367765694204636","0.006891938904370159","0.006891938904370159","0.006891938904370159","0.004452100305182539","0.004452100305182539","0.004452100305182539","0.004439158877411402","0.004439158877411402","0.004439158877411402","0.0067628361317365005","0.0067628361317365005","0.0067628361317365005","0.007356451744628972","0.007356451744628972","0.007356451744628972","0.005919328544917593","0.005919328544917593","0.005919328544917593","0.00575383161081894","0.00575383161081894","0.00575383161081894"
"23","0.0111639648269184","0.0111639648269184","0.0111639648269184","0.009225440052522665","0.009225440052522665","0.009225440052522665","0.0070628240955600856","0.0070628240955600856","0.0070628240955600856","0.0058038970448765805","0.0058038970448765805","0.0058038970448765805","0.0036292423852470643","0.0036292423852470643","0.0036292423852470643","0.0035824343602225937","0.0035824343602225937","0.0035824343602225937","0.0059000887342889234","0.0059000887342889234","0.0059000887342889234","0.006098867725085368","0.006098867725085368","0.006098867725085368","0.004736661273610756","0.004736661273610756","0.004736661273610756","0.004970767447248162","0.004970767447248162","0.004970767447248162"
"24","0.00955988335493631","0.00955988335493631","0.00955988335493631","0.0076327357773145295","0.0076327357773145295","0.0076327357773145295","0.006075391992767988","0.006075391992767988","0.006075391992767988","0.0048321971800347205","0.0048321971800347205","0.0048321971800347205","0.002999378083451027","0.002999378083451027","0.002999378083451027","0.002959518884639348","0.002959518884639348","0.002959518884639348","0.005012820195730187","0.005012820195730187","0.005012820195730187","0.0052304676269418135","0.0052304676269418135","0.0052304676269418135","0.00393210265493885","0.00393210265493885","0.00393210265493885","0.0032563011274630016","0.0032563011274630016","0.0032563011274630016"
"25","0.0075252193096957435","0.0075252193096957435","0.0075252193096957435","0.005839988097048992","0.005839988097048992","0.005839988097048992","0.004518847584114982","0.004518847584114982","0.004518847584114982","0.0036575574980587788","0.0036575574980587788","0.0036575574980587788","0.0025287453127096314","0.0025287453127096314","0.0025287453127096314","0.0025027316837900266","0.0025027316837900266","0.0025027316837900266","0.0037212922936481897","0.0037212922936481897","0.0037212922936481897","0.0038563325389799853","0.0038563325389799853","0.0038563325389799853","0.0030005832337693253","0.0030005832337693253","0.0030005832337693253","0.002958486943241253","0.002958486943241253","0.002958486943241253"
"26","0.00682343992826324","0.00682343992826324","0.00682343992826324","0.006117391489050491","0.006117391489050491","0.006117391489050491","0.004411115334714286","0.004411115334714286","0.004411115334714286","0.003158768266294772","0.003158768266294772","0.003158768266294772","0.0022267778315461224","0.0022267778315461224","0.0022267778315461224","0.002244679210702804","0.002244679210702804","0.002244679210702804","0.0032911375510572714","0.0032911375510572714","0.0032911375510572714","0.003340485110142116","0.003340485110142116","0.003340485110142116","0.0025470010408300235","0.0025470010408300235","0.0025470010408300235","0.0025349045516772674","0.0025349045516772674","0.0025349045516772674"
"27","0.006319295316405983","0.006319295316405983","0.006319295316405983","0.00486279269762007","0.00486279269762007","0.00486279269762007","0.0036824198588484426","0.0036824198588484426","0.0036824198588484426","0.0027860547734606216","0.0027860547734606216","0.0027860547734606216","0.001753264132382376","0.001753264132382376","0.001753264132382376","0.0017376532244464625","0.0017376532244464625","0.0017376532244464625","0.002607334524438593","0.002607334524438593","0.002607334524438593","0.0029355805696516858","0.0029355805696516858","0.0029355805696516858","0.002216256802657608","0.002216256802657608","0.002216256802657608","0.002071649859873411","0.002071649859873411","0.002071649859873411"
"28","0.006272440155599519","0.006272440155599519","0.006272440155599519","0.004700566999156167","0.004700566999156167","0.004700566999156167","0.003452500836574673","0.003452500836574673","0.003452500836574673","0.0024874457104472115","0.0024874457104472115","0.0024874457104472115","0.001508476226723414","0.001508476226723414","0.001508476226723414","0.001548813804300243","0.001548813804300243","0.001548813804300243","0.0023183246694686087","0.0023183246694686087","0.0023183246694686087","0.002365158739576923","0.002365158739576923","0.002365158739576923","0.0020332807626253033","0.0020332807626253033","0.0020332807626253033","0.0018231624551330236","0.0018231624551330236","0.0018231624551330236"
"29","0.005047370350400693","0.005047370350400693","0.005047370350400693","0.00404981480814542","0.00404981480814542","0.00404981480814542","0.0029806972197014606","0.0029806972197014606","0.0029806972197014606","0.0020711449164332388","0.0020711449164332388","0.0020711449164332388","0.0013137310681402038","0.0013137310681402038","0.0013137310681402038","0.0013017491115827084","0.0013017491115827084","0.0013017491115827084","0.0020321293263881645","0.0020321293263881645","0.0020321293263881645","0.0021748452130624734","0.0021748452130624734","0.0021748452130624734","0.001799546255475495","0.001799546255475495","0.001799546255475495","0.0014439342918862509","0.0014439342918862509","0.0014439342918862509"
"30","0.004268641531865498","0.004268641531865498","0.004268641531865498","0.0035696734658758893","0.0035696734658758893","0.0035696734658758893","0.0023832078982207157","0.0023832078982207157","0.0023832078982207157","0.0015415778344924878","0.0015415778344924878","0.0015415778344924878","0.0009371906796094992","0.0009371906796094992","0.0009371906796094992","0.0009377950248682342","0.0009377950248682342","0.0009377950248682342","0.0014912615507864345","0.0014912615507864345","0.0014912615507864345","0.0015901264403515756","0.0015901264403515756","0.0015901264403515756","0.0012134166143892874","0.0012134166143892874","0.0012134166143892874","0.0013773671182434502","0.0013773671182434502","0.0013773671182434502"
"31","0.003358293534405794","0.003358293534405794","0.003358293534405794","0.0027124666731937344","0.0027124666731937344","0.0027124666731937344","0.002311609876496113","0.002311609876496113","0.002311609876496113","0.0011456073415029569","0.0011456073415029569","0.0011456073415029569","0.0006190705457893134","0.0006190705457893134","0.0006190705457893134","0.0006072263541437213","0.0006072263541437213","0.0006072263541437213","0.0011803749198955292","0.0011803749198955292","0.0011803749198955292","0.0012209782507166902","0.0012209782507166902","0.0012209782507166902","0.0008856708402923659","0.0008856708402923659","0.0008856708402923659","0.0009747352018009666","0.0009747352018009666","0.0009747352018009666"
"32","0.003208805381574338","0.003208805381574338","0.003208805381574338","0.002966610135946345","0.002966610135946345","0.002966610135946345","0.002159681945313474","0.002159681945313474","0.002159681945313474","0.001111972866779336","0.001111972866779336","0.001111972866779336","0.0007194725068039062","0.0007194725068039062","0.0007194725068039062","0.0007677382896205616","0.0007677382896205616","0.0007677382896205616","0.0011191207119639094","0.0011191207119639094","0.0011191207119639094","0.0011471422920081905","0.0011471422920081905","0.0011471422920081905","0.0009564601533756606","0.0009564601533756606","0.0009564601533756606","0.0009096845555219432","0.0009096845555219432","0.0009096845555219432"
"33","0.0031919821685201344","0.0031919821685201344","0.0031919821685201344","0.002422535837461058","0.002422535837461058","0.002422535837461058","0.0018928633247344297","0.0018928633247344297","0.0018928633247344297","0.0007206380809299595","0.0007206380809299595","0.0007206380809299595","0.00048088836914423564","0.00048088836914423564","0.00048088836914423564","0.0004852778876074822","0.0004852778876074822","0.0004852778876074822","0.0007866571306388493","0.0007866571306388493","0.0007866571306388493","0.0009132251072510551","0.0009132251072510551","0.0009132251072510551","0.0006857692821612741","0.0006857692821612741","0.0006857692821612741","0.0006670818859876542","0.0006670818859876542","0.0006670818859876542"
"34","0.002162180614405456","0.002162180614405456","0.002162180614405456","0.002010308069906998","0.002010308069906998","0.002010308069906998","0.001533673402039537","0.001533673402039537","0.001533673402039537","0.0007450542848437105","0.0007450542848437105","0.0007450542848437105","0.00038123360241315677","0.00038123360241315677","0.00038123360241315677","0.00034584659575886436","0.00034584659575886436","0.00034584659575886436","0.0005304894741495599","0.0005304894741495599","0.0005304894741495599","0.0006085024425245091","0.0006085024425245091","0.0006085024425245091","0.00048051672893574776","0.00048051672893574776","0.00048051672893574776","0.0006850450233733996","0.0006850450233733996","0.0006850450233733996"
"35","0.0025157740110796933","0.0025157740110796933","0.0025157740110796933","0.0014904524643373543","0.0014904524643373543","0.0014904524643373543","0.0014534748444675904","0.0014534748444675904","0.0014534748444675904","0.0006816145607421224","0.0006816145607421224","0.0006816145607421224","0.000364780554044502","0.000364780554044502","0.000364780554044502","0.00037105969930804574","0.00037105969930804574","0.00037105969930804574","0.000630916851307852","0.000630916851307852","0.000630916851307852","0.0006502856991604576","0.0006502856991604576","0.0006502856991604576","0.0004939558410324416","0.0004939558410324416","0.0004939558410324416","0.00041612149975247035","0.00041612149975247035","0.00041612149975247035"
"36","0.0022362505301784107","0.0022362505301784107","0.0022362505301784107","0.0016543222016653014","0.0016543222016653014","0.0016543222016653014","0.00138908006902398","0.00138908006902398","0.00138908006902398","0.0005159944094568007","0.0005159944094568007","0.0005159944094568007","0.000319317262928454","0.000319317262928454","0.000319317262928454","0.00030590929532296236","0.00030590929532296236","0.00030590929532296236","0.00047147887009885045","0.00047147887009885045","0.00047147887009885045","0.0005819128528086867","0.0005819128528086867","0.0005819128528086867","0.0004133948504912516","0.0004133948504912516","0.0004133948504912516","0.000352382760337021","0.000352382760337021","0.000352382760337021"
"37","0.0019436260283451409","0.0019436260283451409","0.0019436260283451409","0.0019268131546329916","0.0019268131546329916","0.0019268131546329916","0.001384115827156499","0.001384115827156499","0.001384115827156499","0.0004283279723615789","0.0004283279723615789","0.0004283279723615789","0.0002501732634619901","0.0002501732634619901","0.0002501732634619901","0.00023277134263567816","0.00023277134263567816","0.00023277134263567816","0.00041622722286005785","0.00041622722286005785","0.00041622722286005785","0.0004647745457665339","0.0004647745457665339","0.0004647745457665339","0.00033810935016462945","0.00033810935016462945","0.00033810935016462945","0.0003101804547548512","0.0003101804547548512","0.0003101804547548512"
"38","0.0016893625221517283","0.0016893625221517283","0.0016893625221517283","0.0012735828992053288","0.0012735828992053288","0.0012735828992053288","0.0012466366694441782","0.0012466366694441782","0.0012466366694441782","0.00032069348304678816","0.00032069348304678816","0.00032069348304678816","0.0002356182663554644","0.0002356182663554644","0.0002356182663554644","0.00021661535893329877","0.00021661535893329877","0.00021661535893329877","0.000350016975048195","0.000350016975048195","0.000350016975048195","0.0003165921685410747","0.0003165921685410747","0.0003165921685410747","0.000256410892724179","0.000256410892724179","0.000256410892724179","0.0003035461161364819","0.0003035461161364819","0.0003035461161364819"
"39","0.0016272944790378125","0.0016272944790378125","0.0016272944790378125","0.001312309554205896","0.001312309554205896","0.001312309554205896","0.0011455096067164037","0.0011455096067164037","0.0011455096067164037","0.00031925213206042294","0.00031925213206042294","0.00031925213206042294","0.00014208882973058286","0.00014208882973058286","0.00014208882973058286","0.00015007978831337759","0.00015007978831337759","0.00015007978831337759","0.000317801955396977","0.000317801955396977","0.000317801955396977","0.00032759390418820005","0.00032759390418820005","0.00032759390418820005","0.0002582641957500455","0.0002582641957500455","0.0002582641957500455","0.00013161349483429638","0.00013161349483429638","0.00013161349483429638"
"40","0.0018499741856531614","0.0018499741856531614","0.0018499741856531614","0.001331436487532298","0.001331436487532298","0.001331436487532298","0.0010205524860505764","0.0010205524860505764","0.0010205524860505764","0.00026657010770026325","0.00026657010770026325","0.00026657010770026325","0.0002201979420329316","0.0002201979420329316","0.0002201979420329316","0.00023989021772060696","0.00023989021772060696","0.00023989021772060696","0.00025407228233292217","0.00025407228233292217","0.00025407228233292217","0.0002761401776898645","0.0002761401776898645","0.0002761401776898645","0.00022038531489329395","0.00022038531489329395","0.00022038531489329395","0.00023936105219845641","0.00023936105219845641","0.00023936105219845641"
"41","0.001327867461167588","0.001327867461167588","0.001327867461167588","0.0009623784787776783","0.0009623784787776783","0.0009623784787776783","0.0008448491749587747","0.0008448491749587747","0.0008448491749587747","0.00014780659423241683","0.00014780659423241683","0.00014780659423241683","0.00009123142144659172","0.00009123142144659172","0.00009123142144659172","0.0001110710845780166","0.0001110710845780166","0.0001110710845780166","0.0001982285346542759","0.0001982285346542759","0.0001982285346542759","0.00020132335368609262","0.00020132335368609262","0.00020132335368609262","0.00010259507513939513","0.00010259507513939513","0.00010259507513939513","0.0002144196322618562","0.0002144196322618562","0.0002144196322618562"
"42","0.001275802996674717","0.001275802996674717","0.001275802996674717","0.0012298583049456307","0.0012298583049456307","0.0012298583049456307","0.0009502076099933094","0.0009502076099933094","0.0009502076099933094","0.00026965531312966564","0.00026965531312966564","0.00026965531312966564","0.00019750969802483147","0.00019750969802483147","0.00019750969802483147","0.00020672454659123552","0.00020672454659123552","0.00020672454659123552","0.00022954643831252916","0.00022954643831252916","0.00022954643831252916","0.00026518372355592085","0.00026518372355592085","0.00026518372355592085","0.0002092892720154588","0.0002092892720154588","0.0002092892720154588","0.00012175070883315395","0.00012175070883315395","0.00012175070883315395"
"43","0.0012882466922182112","0.0012882466922182112","0.0012882466922182112","0.0010137947764847582","0.0010137947764847582","0.0010137947764847582","0.0006875478734416064","0.0006875478734416064","0.0006875478734416064","0.00011216785960762624","0.00011216785960762624","0.00011216785960762624","0.0001240767918784529","0.0001240767918784529","0.0001240767918784529","0.00009599064324020289","0.00009599064324020289","0.00009599064324020289","0.0001383243894829138","0.0001383243894829138","0.0001383243894829138","0.00016179992179010026","0.00016179992179010026","0.00016179992179010026","0.00012829396500316662","0.00012829396500316662","0.00012829396500316662","0.00016342204732057526","0.00016342204732057526","0.00016342204732057526"
